"fincode","year_end","net_profit","net_sales_ttm","net_sales_2yr","interest_earned_growth_percentage_cons_3year","net_profit_growth_percentage_cons_3year","operating_profit_growth_percentage_cons_3year","profit_after_tax_growth_percentage_cons_3year","profit_before_tax_growth_percentage_cons_3year","eps_growth_percentage_cons_3year","net_sales_growth_percentage_cons_3year","operating_profit_margin_growth_percentage_cons_3year","net_margin_growth_percentage_cons_3year"
241214,202103,"551.79","13820.210000000001","5164.73",NULL,"57.206944438737835","32.280691898926705","35.20138827850037","27.09509321833117","-74.06445839858837","38.83181665516447","-39.97655945113223","-38.75390289779129"
200094,202103,"909.4209999999999","8649.867999999999","5787.57",NULL,"35.868147330105415","12.132723126499823","22.67190295059742","19.061292532045158","22.281014823032198","14.332861854543921","-38.216203219194135","-32.214223780176866"
100900,201003,NULL,NULL,"24500.60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215690,202103,"312.9","3868.7699999999995","1409.75",NULL,"134.66707865312145","41.244715732690906","76.59081513767","72.42628147467525","77.26868545678767","40.00501831980121","-36.44613861928049","-21.15929063471771"
303381,202103,"1.133","21.258000000000003","3.39",NULL,"-9.060058320335784","58.95240086428126","-6.135123249634756","27.006921910075544","-14.080631817362455","84.4056549165194","-45.71896696800596","-67.80542211959938"
310894,202103,"12.020999999999999","193.08800000000002","60.59",NULL,"165.91683795104504","98.62229451841141","91.93929351211673","91.67026662803397","-33.980381126402","47.158305110856524","-14.973667340611064","-17.907169153343816"
291918,201503,NULL,NULL,"10.63",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228173,202103,"4.132","27.994999999999997","24.73",NULL,"-6.336646551635761","-5.948660228431201","-4.270350552453095","-4.307764369653144","-67.25532820309219","4.220251892700366","-43.150175134706224","-41.77634547198098"
112233,201603,NULL,NULL,"199.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117096,201303,NULL,NULL,"71.34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256105,201203,NULL,NULL,"0.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100049,202103,"5322.68","23768.75","14108.69",NULL,"60.3796466246461","29.19988183700175","37.01438577947573","34.35434802856467","-5.4553799271948815","18.988927633592944","-31.597983943670606","-27.94236709051472"
126829,202103,"105.27000000000001","2698.4700000000003","863.10",NULL,"48.963535495272346","44.044615974744296","30.43274898866839","31.26842692046732","22.053171184444697","46.22405585068874","-37.94289088249605","-43.85495739418555"
277081,202103,"10.690999999999999","199.614","137.49",NULL,"31.527003884407947","-7.476845565611545","20.044781320812355","17.224968695078502","21.78879792808255","13.233073386814564","-48.52597247523285","-34.005137497202256"
209038,202003,"189.07999999999998","1963.5099999999998","1128.05",NULL,"15.772513879042593","4.262625170316858","10.25635792677797","11.307597375333422","10.256298582170809","20.291495036800743","-45.398186243676875","-41.951594916719955"
269277,202103,"-27.252","0","60.79",NULL,NULL,"-181.44720485125697",NULL,NULL,NULL,"-100",NULL,NULL
250197,202103,"-7.821","60.39","37.30",NULL,NULL,"-72.9935668701323",NULL,NULL,NULL,"17.422700993468034","-85.51134368077552",NULL
244820,201503,NULL,NULL,"310.03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123445,202103,"11.97","49.489999999999995","54.31",NULL,"11.373897649854236",NULL,"7.4456767616438935","10.736822639142352","7.448293593547395","-3.0504307861774382",NULL,"-33.628948924254395"
131597,201403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111187,202103,"-0.274","1.1869999999999998","9.16",NULL,"16.18090297765654","27.013837908118397","11.101318742625176","13.633135221964077","10.833780255727621","-49.39597265277297","9.132016567015622","-12.404241430537777"
233561,202103,NULL,NULL,"171.93",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310813,202103,"3.9509999999999996","63.483000000000004","40.78",NULL,"246.01628968485386","44.10978432691148","128.76927539749454","121.87259837085382","16.574211394070982","15.896434016677908","-21.6664632704604","24.39813785672338"
132693,201503,NULL,NULL,"7090.26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101622,201003,NULL,NULL,"0.03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100630,202003,NULL,NULL,"151.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100480,202103,"1720.58","9000.2","4360.08",NULL,"64.60397315341694","51.47442871223653","39.409876532313895","38.769047762139785","39.40994851215285","27.326626933055852","-25.056594267714484","-30.56306753248722"
