"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
126931,202203,"3.226","1.84","148.632","168.60","1.991559980189989","-0.2928373432369882","3.357800000000026","-1.741000000000001",NULL,"32.410757477072735",NULL,"32.410757477072735","-1.5064449207113806","32.40056085655449","-6.108262541428466",NULL,"-29.937688503144777"
132842,202203,"78.97","102.78","866.0129999999999","1267.27","11.736663719654908","3.191926680084479","148.7355","110.56999999999998",NULL,"-12.344986224581167","-13.779341396971889","-12.344986224581167","-11.297785079430723","-12.344878549627925","-17.333865806381276","-47.85002281291746","-47.41919878787269"
289006,202203,"8.641","9.57","274.392","198.56","13.040425793376583","3.0019096766669584","25.892599999999987","32.948",NULL,"-4.977591599541031","12.80457082370765","-4.977591599541031","-3.6623964791521413","-62.80365508390145","17.554657508813754","-52.02080861546059","-59.671392105778764"
283135,202203,"0.327","-0.16","5.575","0.01","-20905.714285714286","-1.2242152466367715","-1.4634","-0.273",NULL,NULL,"56.808349705220195",NULL,NULL,NULL,"2261.1437906235187","99.23476224901707",NULL
124594,202203,"2.73","1.10","34.312","17.18","-11.843392008941045","0.5158545115411511","-2.0345999999999975","0.7079999999999991",NULL,"57.537874234045105",NULL,"57.537874234045105","195.52213679068672","57.673475679886856","41.32254079058444",NULL,"-41.70065474496882"
131642,202203,"1658","1255.00","10831","9512.00","17.640874684608914","4.937217246791617","1678","2139",NULL,"14.939790231608029","12.90402223125282","14.939790231608029","14.96407933693411","15.31689160213956","6.708338334653963","-47.09690733016184","-46.380123136650774"
111716,201703,NULL,"-0.06",NULL,"0.30","-190.1710835290171",NULL,"-0.5669",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103940,201103,NULL,"-96.78",NULL,"160.90","-24.24635678774556",NULL,"-39.011199999999974",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200096,201103,NULL,"21.77",NULL,"187.93","13.673918498247625",NULL,"25.697895799999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254338,202103,NULL,"103.31",NULL,"836.04","39.522554795103034",NULL,"330.4233",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293665,202203,"34.4","-104.08","4619.84","3056.04","6.2423921152864486","3.2576885779594096","190.76999999999998","602",NULL,NULL,"77.64099856074836",NULL,NULL,"63.647913355337415","22.951533619457987","-27.75974673461278",NULL
295246,202203,"5.74","21.05","414.56000000000006","324.13","16.339123191312126","2.77281937475878","52.95999999999998","45.980000000000004",NULL,"-47.780838238182255","-6.822619863057467","-47.780838238182255","-38.51108092672113","-47.779350446686685","13.092572551744187","-58.804818904305","-76.67356218151569"
132721,202203,"-71.89","-87.22","669.8979999999999","1118.46","1.595145450513922","0.19062603560542063","17.840999999999894","5.108000000000002",NULL,"9.212470008672646","-46.49235368972794","9.212470008672646","9.212470008672646","9.213925782159071","-22.608348894141905","-65.43066993359025","41.37982470026221"
123550,202203,"1.136","0.69","42.744","43.60","11.02586490322447","2.6734746397155154","4.807763999999999","4.571",NULL,"28.31121586183347","-2.493393948973832","28.31121586183347","20.223880791650718","29.53112656264123","-0.9865174596376369","-50.75845158992768","-32.38502571548355"
