230,"Quick Ratio","NaN","%","quick_ratio","finance_fr_1year_view","std",True,True,True
231,"Return On Assets","NaN","%","roa","finance_fr_1year_view","std",True,True,True
232,"ROCE","NaN","%","roce","finance_fr_1year_view","std",True,True,True
233,"ROE","NaN","%","roe","finance_fr_1year_view","std",True,True,False
234,"ROIC","NaN","%","roic","finance_fr_1year_view","std",True,True,True
238,"Asset Turnover Ratio 3year (back)","NaN","%","asset_turnover_3Year","finance_fr_3year_view","std",True,True,True
239,"CASA Ratio 3year (back)","NaN","%","casa_3Year","finance_fr_3year_view","std",True,True,True
242,"Credit Deposit Ratio 3year (back)","NaN","%","credit_deposit_3Year","finance_fr_3year_view","std",True,True,True
243,"Current Ratio 3year (back)","NaN","%","current_ratio_3Year","finance_fr_3year_view","std",True,True,True
244,"Days Inventory Outstanding 3year (back)","NaN","%","inventory_days_3Year","finance_fr_3year_view","std",True,True,True
245,"Days Payable Outstanding 3year (back)","NaN","%","payable_days_3Year","finance_fr_3year_view","std",True,True,True
246,"Days Receivable Outstanding 3year (back)","NaN","%","receivable_days_3Year","finance_fr_3year_view","std",True,True,True
247,"Debt to Equity 3year (back)","NaN","%","total_debt_equity_3Year","finance_fr_3year_view","std",True,True,True
249,"Dividend Payout Ratio 3year (back)","NaN","%","dividend_payout_per_3Year","finance_fr_3year_view","std",True,True,True
250,"Dividend Yield 3year (back)","NaN","%","yield_3Year","finance_fr_3year_view","std",True,True,True
262,"Net Interest Margin 3year (back)","NaN","%","nim_3Year","finance_fr_3year_view","std",True,True,True
264,"Quick Ratio 3year (back)","NaN","%","quick_ratio_3Year","finance_fr_3year_view","std",True,True,True
265,"Return On Assets 3year (back)","NaN","%","roa_3Year","finance_fr_3year_view","std",True,True,True
266,"ROCE 3year (back)","NaN","%","roce_3Year","finance_fr_3year_view","std",True,True,True
267,"ROE 3year (back)","NaN","%","roe_3Year","finance_fr_3year_view","std",True,True,True
268,"ROIC 3year (back)","NaN","%","roic_3Year","finance_fr_3year_view","std",True,True,True
272,"Sales","NaN","Cr.","net_sales","finance_pl_1year_view","std",False,False,False
273,"Sales 3year (back)","NaN","Cr.","sales_3year","finance_pl_3_year_view","std",False,False,False
274,"Price to Earnings Ratio","NaN","","pe","valuation_view","std",True,True,False
275,"PEG Ratio","NaN","","peg","valuation_view","std",False,False,False
276,"Price to Book Value Ratio","NaN","","pb","valuation_view","std",True,True,False
277,"Price to Sales Ratio","NaN","","ps","valuation_view","std",True,True,True
278,"EV / Free Cash Flow","NaN","","EV/FreeCashFlow","valuation_view","std",False,False,False
279,"EV/EBITDA Ratio","NaN","","EVEBITDA","valuation_view","std",True,True,True
282,"Price to Earnings Ratio 3year (back)","NaN","","pe_3year","valuation_3year_view","std",False,False,False
283,"PEG Ratio 3year (back)","NaN","","peg_3year","valuation_3year_view","std",False,False,False
